Uwaga: {username} oznacza nazwę użytkownika

Variable	Windows XP	Windows Vista/7/8/8.1/10
 %ALLUSERSPROFILE%	C:\Documents and Settings\All Users	C:\ProgramData
 %APPDATA%	C:\Documents and Settings\{username}\Application Data	C:\Users\{username}\AppData\Roaming
 %COMPUTERNAME%	{computername}	{computername}
 %COMMONPROGRAMFILES%	C:\Program Files\Common Files	C:\Program Files\Common Files
 %COMMONPROGRAMFILES(x86)%	C:\Program Files (x86)\Common Files	C:\Program Files (x86)\Common Files
 %COMSPEC%	C:\Windows\System32\cmd.exe	C:\Windows\System32\cmd.exe
 %HOMEDRIVE%	C:\	C:\
 %HOMEPATH%	\Documents and Settings\{username}	\Users\{username}
 %PATH%	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;{plus ścieżki programów}	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;{plus ścieżki programów}
 %PATHEXT%	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.WSF;.WSH	.com;.exe;.bat;.cmd;.vbs;.vbe;.js;.jse;.wsf;.wsh;.msc
 %PROGRAMFILES%	C:\Program Files (w wersji 32-bitowej)	C:\Program Files (w wersji 32-bitowej)
 %PROGRAMFILES%	C:\Program Files (x86) (wersji 64-bitowej)	C:\Program Files (x86) (wersji 64-bitowej)
 %PROGRAMW6432%	C:\Program Files (tylko w wersji 64-bitowej)	C:\Program Files (tylko w wersji 64-bitowej)
 %PROGRAMFILES(X86)%	C:\Program Files (x86) (tylko w wersji 64-bitowej)	C:\Program Files (x86) (tylko w wersji 64-bitowej)
 %PROMPT%	Zazwyczaj $P$G	Zazwyczaj $P$G
 %SYSTEMDRIVE%	C:	C:
 %SystemRoot%	Katalog Windows, zazwyczaj C:\Windows, dawniej C:\WINNT	C:\Windows
 %TEMP% i %TMP%	C:\Documents and Settings\{username}\Local Settings\Temp	C:\Users\{username}\AppData\Local\Temp
 %USERNAME%	{username}	{username}
 %USERPROFILE%	C:\Documents and Settings\{username}	C:\Users\{username}
 %WINDIR%	C:\Windows	C:\Windows
 %PUBLIC%
